SR#,Model,Name,Odometer,VIN,BidType,Ammount,BuyerName,Address,Phone No.
,,,,,Bid,"$23,500 ",SOUTHWEST AUTO CENTER INC,"9848 Southwest Fwy, Houston, TX 77074, United States",713-777-5403
171,2012,INFINITI G37 4X2 BASE,16467,JN1CV6FE5CM203518,,,,,
,,,,,Bid,"$24,750 ",CARSMITH MOTORS,"48995 Milmont Dr Fremont, CA 94538",(510) 770-9790
,,,,,Bid,"$25,250 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
,,,,,SOLD,"$25,250 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
172,2013,INFINITI M37 4X2,18844,JN1BY1AP6DM510325,,,,,
,,,,,Bid,"$26,250 ",AUTOFLEX LEASING,"558 South Central Expressway, Richardson, Texas 75080",972-234-1234
,,,,,SOLD,"$26,250 ",AUTOFLEX LEASING,"558 South Central Expressway, Richardson, Texas 75080",972-234-1234
173,2013,INFINITI JX35 AWD,26671,5N1AL0MM0DC326289,,,,,
,,,,,SOLD,"$32,000 ",CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
174,2013,INFINITI G37 4X2 JOURNEY,23607,JN1CV6AP6DM724600,,,,,
,,,,,Bid,"$20,000 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$20,500 ",GLENDALE INFINITI,"812 S Brand Blvd, Glendale, CA 91204, United States",818-201-2637
,,,,,SOLD,"$20,250 ",CERRITOS INFINITI INC,"11011 East South Street Cerritos, CA 90703",(562) 219-2500
175,2015,INFINITI Q70 AWD V6,1510,JN1BY1ARXFM562707,,,,,
,,,,,Bid,"$39,000 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,Bid,"$39,500 ",MOTOR WERKS OF BARRINGTON INC,"1475 S Barrington Rd Barrington, IL 60010",(847) 497-8669
176,2013,INFINITI FX37 4X2,30837,JN8CS1MU2DM140323,,,,,
,,,,,Bid,"$28,750 ",PLANET NISSAN,"735 Showcase Dr S, San Bernardino, CA, 92408",(909) 885-3883
,,,,,Bid,"$30,250 ",AUTONATION INFINITI SOUTH BAY,"3233 Pacific Coast Hwy Torrance, CA 90505",(424) 245-0985
,,,,,Bid,"$29,500 ",GLENDALE INFINITI,"812 S Brand Blvd, Glendale, CA 91204, United States",818-201-2637
,,,,,Bid,"$30,500 ",CREST INFINITI,"2501 N Central Expy Plano, TX 75075",(469) 808-1880
,,,,,SOLD,"$30,500 ",INFINITI OF VAN NUYS,"5455 Van Nuys Blvd Van Nuys, CA 91401",(866) 554-4870
177,2013,INFINITI G37 4X2 JOURNEY,16771,JN1CV6AP7DM305008,,,,,
,,,,,Bid,"$21,000 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,Bid,"$20,500 ",620 MOTORSPORTS,NA,NA
,,,,,SOLD,"$21,000 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
178,2014,INFINITI Q50 4X2 V6,21427,JN1BV7AP2EM680954,,,,,
,,,,,Bid,"$21,000 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$21,250 ",CADILLAC OF LAS VEGAS WEST,"5185 W. Sahara Ave Las Vegas, NV 89146",(855) 935-0799
,,,,,SOLD,"$21,250 ",CADILLAC OF LAS VEGAS WEST,"5185 W. Sahara Ave Las Vegas, NV 89146",(855) 935-0799
179,2015,INFINITI Q50 4X2 V6 SPORT,10610,JN1BV7AP8FM339723,,,,,
,,,,,Bid,"$31,000 ",CREST INFINITI,"2501 N Central Expy Plano, TX 75075",(469) 808-1880
,,,,,SOLD,"$31,000 ",CREST INFINITI,"2501 N Central Expy Plano, TX 75075",(469) 808-1880
180,2013,INFINITI G37 4X2 JOURNEY,29064,JN1CV6AP5DM717282,,,,,
,,,,,Bid,"$20,000 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$20,250 ",DONOHOO AUTO LLC,"8122 Helena Rd, Pelham, AL 35124, United States",205-444-9333
,,,,,SOLD,"$20,250 ",DONOHOO AUTO LLC,"8122 Helena Rd, Pelham, AL 35124, United States",205-444-9333
181,2014,INFINITI Q50 4X2 V6,28879,JN1BV7AP3EM684382,,,,,
,,,,,Bid,"$22,000 ",NAPA NISSAN INC,"510 Soscol Ave Napa, CA 94559",(707) 253-1551
,,,,,SOLD,"$22,000 ",NAPA NISSAN INC,"510 Soscol Ave Napa, CA 94559",(707) 253-1551
182,2013,INFINITI JX35 FWD,31354,5N1AL0MN3DC319992,,,,,
,,,,,Bid,"$26,750 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,SOLD,"$26,750 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
183,2013,INFINITI G37 4X2 JOURNEY,26295,JN1CV6EK0DM920594,,,,,
,,,,,SOLD,"$21,500 ",KARMART CHRYSLER JEEP DODGE,"660 Auto Blvd Burlington, WA 98233",(360) 757-2273
184,2014,INFINITI Q50 4X2 V6 PREMIUM,27285,JN1BV7APXEM684203,,,,,
,,,,,SOLD,"$23,500 ",ORANGE COAST INFINITI,"15550 Beach Blvd Westminster, CA 92683",(877) 908-8811
185,2013,INFINITI G37 4X2 JOURNEY,31066,JN1CV6AP8DM711069,,,,,
,,,,,Bid,"$16,750 ",A & M MOTORCARS,407 W 6 Dr MesaMaricopaAZ85210-2313,(480) 834 7813
,,,,,SOLD,"$17,000 ",CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
186,2014,INFINITI QX60 FWD 4C HYBRID,21109,5N1CL0MN5EC507813,,,,,
,,,,,Bid,"$32,500 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,SOLD,"$33,000 ",ORANGE COAST INFINITI,"15550 Beach Blvd Westminster, CA 92683",(877) 908-8811
187,2013,INFINITI G37 4X2 JOURNEY,30107,JN1CV6AP7DM300651,,,,,
,,,,,Bid,"$19,500 ",620 MOTORSPORTS,NA,NA
,,,,,Bid,"$19,750 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,SOLD,"$19,750 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
188,2013,INFINITI G37 4X2 JOURNEY,17543,JN1CV6AP0DM722762,,,,,
,,,,,Bid,"$18,500 ",JERSEY AUTO,"5639 N Jersey Ave Chicago, IL 60659",(773) 588-2855
189,2012,INFINITI M37 4X2,24758,JN1BY1AP0CM335553,,,,,
,,,,,Bid,"$23,000 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,SOLD,"$25,750 ",FRONTIER INFINITI,"4355 Stevens Creek Blvd Santa Clara, CA 95051",(408) 243-4355
190,2014,INFINITI Q50 4X2 V6,24724,JN1BV7AP5EM684013,,,,,
,,,,,Bid,"$22,250 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$22,500 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
,,,,,SOLD,"$22,250 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
191,2013,INFINITI G37 4X2 JOURNEY,15701,JN1CV6EK8DM900965,,,,,
,,,,,Bid,"$24,250 ",PLANET NISSAN,"735 Showcase Dr S, San Bernardino, CA, 92408",(909) 885-3883
,,,,,SOLD,"$24,500 ",INFINITI OF VAN NUYS,"5455 Van Nuys Blvd Van Nuys, CA 91401",(866) 554-4870
192,2013,INFINITI EX37 4X2 JOURNEY,20729,JN1BJ0HP0DM430507,,,,,
,,,,,Bid,"$25,000 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,SOLD,"$27,500 ",INFINITI OF VAN NUYS,"5455 Van Nuys Blvd Van Nuys, CA 91401",(866) 554-4870
193,2013,INFINITI JX35 FWD,38512,5N1AL0MN2DC337920,,,,,
,,,,,Bid,"$23,500 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$25,500 ",GLOBAL MOTOR SPORTS INC,"5212 Harding Pike Nashville, TN 37205",615-353-9333
,,,,,Bid,"$25,750 ",AUTO ONE,"1236 Soquel Ave Santa Cruz, CA 95062",(831) 427-2700
,,,,,SOLD,"$25,750 ",AUTO ONE,"1236 Soquel Ave Santa Cruz, CA 95062",(831) 427-2700
194,2012,INFINITI G37 4X2 BASE,25720,JN1CV6FEXCM200937,,,,,
,,,,,Bid,"$24,750 ",CARSMITH MOTORS,"48995 Milmont Dr Fremont, CA 94538",(510) 770-9790
,,,,,Bid,"$24,000 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
,,,,,SOLD,"$25,750 ",INFINITI OF BEVERLY HILLS,"8825 Wilshire Blvd, Beverly Hills, CA 90211, United States",844-411-0560
195,2013,INFINITI G37 4X2 JOURNEY,21862,JN1CV6AP2DM711519,,,,,
,,,,,Bid,"$18,750 ",A & M MOTORCARS,407 W 6 Dr MesaMaricopaAZ85210-2313,(480) 834 7813
,,,,,SOLD,"$19,250 ",CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
196,2014,INFINITI Q50 4X2 V6 PREMIUM,18684,JN1BV7AP3EM674080,,,,,
,,,,,Bid,"$24,000 ",ST CLAIRE CADILLAC/ ST CLAIRE OLDSMOBILE,"3737 Stevens Creek Blvd, Santa Clara, CA 95051, United States",844-283-1827
,,,,,SOLD,"$25,000 ",INFINITI OF VAN NUYS,"5455 Van Nuys Blvd Van Nuys, CA 91401",(866) 554-4870
197,2013,INFINITI FX37 4X2,36842,JN8CS1MU2DM140497,,,,,
,,,,,Bid,"$30,500 ",AUTONATION INFINITI SOUTH BAY,"3233 Pacific Coast Hwy Torrance, CA 90505",(424) 245-0985
,,,,,Bid,"$29,500 ",PLANET NISSAN,"735 Showcase Dr S, San Bernardino, CA, 92408",(909) 885-3883
,,,,,Bid,"$30,750 ",GLENDALE INFINITI,"812 S Brand Blvd, Glendale, CA 91204, United States",818-201-2637
,,,,,Bid,"$29,000 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
,,,,,SOLD,"$30,750 ",GLENDALE INFINITI,"812 S Brand Blvd, Glendale, CA 91204, United States",818-201-2637
198,2013,INFINITI G37 4X2 JOURNEY,55025,JN1CV6AP8DM710794,,,,,
,,,,,SOLD,"$18,250 ",FM ENTERPRISE,"1224 Kendrick Ct Corona, CA 92881",(714) 554-4786
199,2013,INFINITI JX35 FWD,36468,5N1AL0MN1DC308649,,,,,
,,,,,Bid,"$28,500 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,SOLD,"$29,000 ",PERRY FORD,"2050 National City Blvd, National City, CA 91950, United States",619-477-2711
200,2013,INFINITI G37 4X2 JOURNEY,31244,JN1CV6EK7DM900780,,,,,
,,,,,SOLD,"$22,500 ",METRO INFINITI INC,"821 E Central Ave Monrovia, CA 91016",(626) 303-1000
201,2013,INFINITI G37 4X2 BASE,11287,JN1CV6FE9DM771272,,,,,
,,,,,SOLD,"$30,500 ",INFINITI OF MISSION VIEJO,"28471 Marguerite Pkwy Mission Viejo, CA 92692",(949) 916-4200
202,2013,INFINITI JX35 FWD,36341,5N1AL0MN3DC325078,,,,,
,,,,,SOLD,"$26,750 ",CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
203,2013,INFINITI G37 4X2 JOURNEY,30164,JN1CV6AP9DM304216,,,,,
,,,,,Bid,"$18,250 ",620 MOTORSPORTS,NA,NA
,,,,,Bid,"$19,500 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,Bid,"$19,750 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,SOLD,"$19,750 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
204,2013,INFINITI G37 4X2 IPL,25245,JN1CV6EKXDM900112,,,,,
,,,,,Bid,"$26,250 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,Bid,"$27,500 ",CARSMITH MOTORS,"48995 Milmont Dr Fremont, CA 94538",(510) 770-9790
,,,,,Bid,"$27,750 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,Bid,"$26,500 ",ROYAL MOORE NISSAN SUBARU,NA,NA
,,,,,SOLD,"$27,750 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
205,2013,INFINITI G37 4X2 JOURNEY,39624,JN1CV6EK5DM900938,,,,,
,,,,,SOLD,"$21,500 ",METRO INFINITI INC,"821 E Central Ave Monrovia, CA 91016",(626) 303-1000
206,2013,INFINITI G37 4X2 JOURNEY,17286,JN1CV6AP4DM726054,,,,,
,,,,,Bid,"$18,500 ",E TYPE MOTORS,NA,NA
,,,,,Bid,"$19,500 ",PLANET NISSAN,"735 Showcase Dr S, San Bernardino, CA, 92408",(909) 885-3883
,,,,,SOLD,"$19,500 ",PLANET NISSAN,"735 Showcase Dr S, San Bernardino, CA, 92408",(909) 885-3883
207,2013,INFINITI G37 4X2 SPORT,28274,JN1CV6EK7DM920348,,,,,
,,,,,Bid,"$25,000 ",CARSMITH MOTORS,"48995 Milmont Dr Fremont, CA 94538",(510) 770-9790
,,,,,Bid,"$23,500 ",AUTO PROZ,"920 El Cajon Blvd,El Cajon, CA 92020",(619) 440-3000
,,,,,Bid,"$25,750 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,Bid,"$22,000 ",620 MOTORSPORTS,NA,NA
,,,,,Bid,"$26,000 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
,,,,,SOLD,"$26,000 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
208,2013,INFINITI JX35 FWD,42599,5N1AL0MN9DC308690,,,,,
,,,,,SOLD,"$27,750 ",CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
209,2014,INFINITI Q50 4X2 V6,22631,JN1BV7AP1EM677222,,,,,
,,,,,Bid,"$22,750 ",SOUTHWEST AUTO CENTER INC,"9848 Southwest Fwy, Houston, TX 77074, United States",713-777-5403
,,,,,Bid,"$23,250 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
,,,,,SOLD,"$23,250 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
210,2012,INFINITI QX56 4X2 7,59592,JN8AZ2NF8C9515321,,,,,
,,,,,Bid,"$34,000 ",WORLD IMPORTS USA INC,"11650 Beach Blvd Jacksonville, FL 32246",(904) 998-9992
,,,,,SOLD,"$34,000 ",WORLD IMPORTS USA INC,"11650 Beach Blvd Jacksonville, FL 32246",(904) 998-9992
211,2012,INFINITI G37 4X2 JOURNEY,30993,JN1CV6AP3CM936403,,,,,
,,,,,Bid,"$19,250 ",CARSMITH MOTORS,"48995 Milmont Dr Fremont, CA 94538",(510) 770-9790
,,,,,SOLD,"$19,250 ",CARSMITH MOTORS,"48995 Milmont Dr Fremont, CA 94538",(510) 770-9790
212,2014,INFINITI Q50 4X2 V6,21244,JN1BV7AP4EM683158,,,,,
,,,,,Bid,"$20,250 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$20,000 ",E TYPE MOTORS,NA,NA
,,,,,Bid,"$19,500 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,SOLD,"$20,250 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
213,2013,INFINITI G37 4X2 JOURNEY,19808,JN1CV6AP5DM714754,,,,,
,,,,,Bid,"$18,500 ",JERSEY AUTO,"5639 N Jersey Ave Chicago, IL 60659",(773) 588-2855
,,,,,SOLD,"$19,000 ",CARMAX # 7129,"6100 Auto Center Dr Buena Park, CA 90621",(714) 523-2667
214,2013,INFINITI M37 4X2,22201,JN1BY1AP3DM511495,,,,,
,,,,,Bid,"$25,250 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,Bid,"$26,500 ",SOUTHWEST AUTO CENTER INC,"9848 Southwest Fwy, Houston, TX 77074, United States",713-777-5403
,,,,,Bid,"$26,250 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
,,,,,SOLD,"$26,500 ",SOUTHWEST AUTO CENTER INC,"9848 Southwest Fwy, Houston, TX 77074, United States",713-777-5403
215,2011,INFINITI G25 AWD X,43016,JN1DV6AR7BM451699,,,,,
,,,,,Bid,"$14,000 ",AUTOMOTIVE IMPORTS,NOT APPLICABLE,NOT APPLICABLE
,,,,,Bid,"$12,000 ",FUTURE AUTO SALES INC,"1711 S Brand Blvd, Glendale, CA 91204",(818) 240-0099
,,,,,Bid,"$12,500 ",BIRMINGHAM LUXURY MOTORS,"3301 Allison-Bonnett Memorial Dr, Hueytown, AL 35023, United States",205-491-3705
,,,,,Bid,"$13,000 ",AUTO ONE,"1236 Soquel Ave Santa Cruz, CA 95062",(831) 427-2700
,,,,,Bid,"$13,500 ",DONOHOO AUTO LLC,"8122 Helena Rd, Pelham, AL 35124, United States",205-444-9333
,,,,,Bid,"$14,250 ",VOLKSWAGEN OF PUYALLUP,"820 River Rd Puyallup, WA 98371
",(253) 200-1061
,,,,,SOLD,"$14,250 ",VOLKSWAGEN OF PUYALLUP,"820 River Rd Puyallup, WA 98371
",(253) 200-1061
216,2013,INFINITI JX35 FWD,34504,5N1AL0MNXDC337809,,,,,
,,,,,Bid,"$27,000 ",INFINITI OF GWINNETT,"3090 Satellite Blvd Duluth, GA 30096",(678) 534-7471
,,,,,Bid,"$27,750 ",GLOBAL MOTOR SPORTS INC,"5212 Harding Pike Nashville, TN 37205",615-353-9333
,,,,,SOLD,"$27,750 ",GLOBAL MOTOR SPORTS INC,"5212 Harding Pike Nashville, TN 37205",615-353-9333
217,2014,INFINITI Q50 4X2 V6 PREMIUM,26189,JN1BV7AP8EM684328,,,,,
,,,,,SOLD,"$21,750 ",METRO INFINITI INC,"821 E Central Ave Monrovia, CA 91016",(626) 303-1000
218,2012,INFINITI G37 4X2 JOURNEY,42614,JN1CV6AP6CM931129,,,,,
,,,,,Bid,"$18,250 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
,,,,,Bid,"$17,750 ",EUROPEAN MOTORS GROUP,"1485 E Walnut St, Pasadena, CA 91106, United States",626-568-3876
,,,,,SOLD,"$18,250 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
219,2014,INFINITI Q50 4X2 V6,20167,JN1BV7AP9EM682166,,,,,
,,,,,Bid,"$23,250 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
220,2013,INFINITI G37 4X2 JOURNEY,31462,JN1CV6AP5DM300065,,,,,
,,,,,Bid,"$20,250 ",GLENDALE INFINITI,"812 S Brand Blvd, Glendale, CA 91204, United States",818-201-2637
,,,,,SOLD,"$18,250 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
221,2013,INFINITI G37 4X2 JOURNEY,22239,JN1CV6AP0DM304878,,,,,
,,,,,Bid,"$18,750 ",620 MOTORSPORTS,NA,NA
,,,,,SOLD,"$18,750 ",620 MOTORSPORTS,NA,NA
222,2013,INFINITI G37 4X2 JOURNEY,16682,JN1CV6AP1DM714668,,,,,
,,,,,Bid,"$20,750 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
,,,,,Bid,"$19,750 ",620 MOTORSPORTS,NA,NA
,,,,,SOLD,"$21,500 ",METRO INFINITI INC,"821 E Central Ave Monrovia, CA 91016",(626) 303-1000
223,2014,INFINITI Q50 4X2 V6,18377,JN1BV7AP9EM674925,,,,,
,,,,,Bid,"$25,250 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
,,,,,Bid,"$25,000 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
,,,,,SOLD,"$25,250 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
224,2013,INFINITI G37 4X2 JOURNEY,15913,JN1CV6AP6DM722782,,,,,
,,,,,Bid,"$19,000 ",NAPA NISSAN INC,"510 Soscol Ave Napa, CA 94559",(707) 253-1551
225,2013,INFINITI G37 4X2 JOURNEY,23970,JN1CV6AP5DM725169,,,,,
,,,,,Bid,"$20,500 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,Bid,"$20,250 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,SOLD,"$20,500 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
226,2013,INFINITI M37 4X2,20343,JN1BY1AP6DM510244,,,,,
,,,,,Bid,"$26,000 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,SOLD,"$26,000 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
227,2014,INFINITI Q50 4X2 V6,20211,JN1BV7AP2EM678802,,,,,
,,,,,Bid,"$23,000 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$24,000 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
,,,,,Bid,"$23,250 ",SOUTHWEST AUTO CENTER INC,"9848 Southwest Fwy, Houston, TX 77074, United States",713-777-5403
,,,,,SOLD,"$24,000 ","AUSTIN EAUTOS, INC.","16809 Calply Dr Round Rock, TX 78664",(512) 252-1777
228,2013,INFINITI G37 4X2 JOURNEY,17486,JN1CV6AP2DM725758,,,,,
,,,,,Bid,"$23,000 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$21,750 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
,,,,,Bid,"$19,750 ",620 MOTORSPORTS,NA,NA
,,,,,Bid,"$20,500 ",INFINITI OF THOUSAND OAKS,"3570 Thousand Oaks Blvd THOUSAND OAKS, CA 91362",(805) 494-1200
,,,,,SOLD,"$21,750 ",INFINITI OF OAKLAND,"2801 Broadway, Oakland, CA 94611, United States",855-314-9838
229,2013,INFINITI G37 4X2 JOURNEY,49967,JN1CV6EK8DM920150,,,,,
,,,,,Bid,"$19,500 ",EUROPEAN MOTORS GROUP,"1485 E Walnut St, Pasadena, CA 91106, United States",626-568-3876
,,,,,SOLD,"$19,500 ",EUROPEAN MOTORS GROUP,"1485 E Walnut St, Pasadena, CA 91106, United States",626-568-3876
230,2014,INFINITI Q50 4X2 V6,23012,JN1BV7AP8EM675595,,,,,
,,,,,Bid,"$22,250 ",SC CAR ZONE,"2901 Harbor Blvd Costa Mesa, CA 92626",(866) 656-7198
,,,,,Bid,"$23,000 ",SOUTHWEST AUTO CENTER INC,"9848 Southwest Fwy, Houston, TX 77074, United States",713-777-5403
,,,,,Bid,"$23,250 ",AUTOFLEX LEASING,"558 South Central Expressway, Richardson, Texas 75080",972-234-1234
